Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbCtlR4,RbTrtR1,RbTrtR2,RbTrtR3,RbTrtR4,RbTrtR5,RbTrtR6,RbTrtR7,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4,RnaTrtR5,RnaTrtR6
FBgn0037312,124,117,141,63,183,115,125,97,98,68,54,2002,1730,1983,1516,1498,1412,1793,1735,1428
FBgn0037313,281,407,429,236,451,228,349,174,331,154,136,2458,2170,2332,2204,2322,1927,2160,2058,2127
FBgn0250746,729,938,1000,597,1318,895,1045,595,978,609,423,11548,10265,11483,9361,9142,8767,10962,10048,8827
FBgn0037315,43,80,130,51,116,53,83,37,88,39,27,5171,5072,5542,4796,4838,4266,5645,4936,4385
FBgn0051542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0085306,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003275,301,360,247,154,391,205,177,190,320,116,108,1574,1600,1611,1454,1599,1373,1790,1591,1629
FBgn0086695,200,274,266,124,358,135,154,162,207,141,116,4094,3643,4305,2877,2846,2786,4064,3497,2961
FBgn0037317,42,67,51,32,67,42,65,34,59,31,13,1357,1201,1407,1108,1000,973,1264,1155,920
FBgn0041707,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
FBgn0001311,1,2,0,0,0,0,0,0,1,0,0,14,13,10,17,15,6,16,11,5
FBgn0037320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0264712,24,32,18,13,48,9,21,11,25,2,5,4542,4174,4877,3698,3803,3577,4472,4236,3984
FBgn0037322,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0037323,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
FBgn0037324,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0037326,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,6,7,4,3,4
FBgn0037325,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0037327,61,96,65,36,102,43,37,28,51,37,23,5779,6049,7056,5306,5729,4978,6681,5663,5172
FBgn0037328,775,1972,2238,680,1514,1104,1396,660,1198,858,460,17959,20566,20042,29249,34280,24136,27658,25119,26862
