gene_name,tpm_rbctr1,tpm_rbctr2,tpm_rbctr3,tpm_rnactr1,tpm_rnactr2,tpm_rnactr3,tpm_rnactr4,avg_rpf,avg_rna
Ubap1l,0.0,0.39672,0.0,2.33018,2.8158,2.43488,2.23346,0.13224,2.45358
Pbld2,0.0,0.39672,0.38424,0.65028,0.5415,0.59387,0.32685,0.26032,0.52813
Ppia,1.31234,0.59508,0.76848,389.95329,372.33594,370.33927,351.4702,0.89197,371.02468
9030025P20Rik,0.26247,1.19015,0.38424,0.92123,1.67865,0.89081,0.59922,0.61229,1.02248
Eml4,33.85847,30.5473,32.27613,63.0233,63.57219,56.23978,53.54854,32.2273,59.09596
Patj,13.38591,8.92616,14.02475,14.73976,16.24502,16.27212,14.65367,12.11227,15.47764
Znhit6,23.35972,28.16699,27.08889,6.23188,6.49801,5.58241,5.82878,26.2052,6.03527
Slc22a2,1.04988,0.9918,1.15272,0.43352,1.24545,1.00958,0.59922,1.0648,0.82194
Adamtsl4,4.72444,5.75241,4.61088,3.03466,2.86995,3.56324,3.92217,5.02924,3.34751
Cep250,19.94763,18.05068,22.67014,30.56332,32.38175,27.91204,23.26066,20.22281,28.52944
Tbc1d10c,1.04988,0.19836,0.38424,0.48771,0.5415,0.83142,0.76264,0.54416,0.65582
Golga7,7.08666,10.71139,7.49267,50.99306,56.47853,64.85094,61.93763,8.43024,58.56504
Fam180a,5.24938,3.3721,4.03452,3.9017,4.06126,3.38508,4.79377,4.21867,4.03545
Gpc3,29.65897,30.15058,26.70466,7.42407,7.41856,5.64179,5.77431,28.83807,6.56468
Cdh4,31.23378,26.77848,29.01009,39.77567,36.49715,40.02705,46.30342,29.00745,40.65082
Epb41l4a,5.51184,4.56226,3.8424,4.33522,4.27786,4.27589,4.90272,4.63883,4.44792
Homez,13.12344,12.69498,15.56171,18.26213,16.73237,17.34109,16.77818,13.79338,17.27844
Tekt1,3.67456,2.77703,2.8818,1.35476,1.4079,1.24713,1.47081,3.11113,1.37015
Akap12,65.61719,65.4585,62.0547,35.22369,32.81495,29.99059,29.47077,64.3768,31.875
Cacng5,14.43578,13.48842,12.10355,16.31128,16.73237,19.24149,19.12059,13.34258,17.85143
H2bc11,4.1995,4.56226,4.41876,2.00504,2.4909,1.60346,0.81712,4.39351,1.72913
Bmp2,3.14963,2.57867,5.37935,5.79836,6.44386,6.17628,5.33851,3.70255,5.93925
6720489N17Rik,0.78741,0.0,0.0,4.06427,3.08655,4.33527,4.14007,0.26247,3.90654
Bcl9l,40.68266,30.34894,38.23184,32.29741,32.81495,33.13812,36.71589,36.42115,33.74159
Klk10,0.0,0.59508,0.19212,0.05419,0.16245,0.17816,0.05447,0.2624,0.11232
Zfhx3,14.96072,15.67037,15.17747,21.83869,21.93078,19.00394,19.01164,15.26952,20.44626
Ccdc30,6.82419,10.11631,10.56659,11.86767,13.15847,11.52114,9.64201,9.16903,11.54732
Wdr6,517.58843,518.31231,523.33439,168.85693,156.76448,148.23073,131.44724,519.74504,151.32484
Catsperz,0.0,0.19836,0.57636,3.73913,3.62806,3.02875,3.6498,0.25824,3.51143
